home_team,away_team,home_score,away_score
London Ágyúk,Vörös Ördögök,1,0
West Ham,Liverpool,2,1
Crystal Palace,London Ágyúk,1,1
Brentford,Wolverhampton,3,0
Vörös Ördögök,Nottingham,0,2
Liverpool,Fulham,0,0
Aston Oroszlán,Newcastle,1,2
Chelsea,Manchester Kék,1,2
Brighton,West Ham,0,0
Tottenham,Everton,1,0
Nottingham,Manchester Kék,1,3
Everton,Brentford,2,0
London Ágyúk,Liverpool,1,1
Vörös Ördögök,Crystal Palace,1,1
Newcastle,Tottenham,1,2
Wolverhampton,Chelsea,1,0
West Ham,Aston Oroszlán,1,2
Fulham,Brighton,2,1
Crystal Palace,Nottingham,1,0
Aston Oroszlán,Fulham,0,2
Brighton,London Ágyúk,1,2
Manchester Kék,Wolverhampton,4,0
Chelsea,Everton,0,1
Tottenham,West Ham,0,2
Liverpool,Vörös Ördögök,2,3
Brentford,Newcastle,2,0
Newcastle,Chelsea,0,1
Fulham,Tottenham,1,1
Everton,Manchester Kék,2,1
Nottingham,Wolverhampton,0,1
Crystal Palace,Liverpool,2,0
West Ham,Brentford,1,3
Vörös Ördögök,Brighton,3,1
London Ágyúk,Aston Oroszlán,1,1
Brighton,Crystal Palace,0,1
Aston Oroszlán,Vörös Ördögök,2,3
Wolverhampton,Everton,1,0
Chelsea,West Ham,5,0
Brentford,Fulham,1,2
Liverpool,Nottingham,2,1
Manchester Kék,Newcastle,3,0
Tottenham,London Ágyúk,1,0
Vörös Ördögök,Tottenham,1,2
London Ágyúk,Brentford,1,2
Crystal Palace,Aston Oroszlán,0,1
Nottingham,Everton,1,1
West Ham,Manchester Kék,2,3
Newcastle,Wolverhampton,0,5
Liverpool,Brighton,2,1
Fulham,Chelsea,1,0
Aston Oroszlán,Liverpool,1,2
Everton,Newcastle,3,2
Wolverhampton,West Ham,3,3
Brentford,Vörös Ördögök,1,2
Tottenham,Crystal Palace,2,0
Chelsea,London Ágyúk,2,0
Brighton,Nottingham,0,3
Manchester Kék,Fulham,1,0
Liverpool,Tottenham,2,1
Fulham,Wolverhampton,1,0
Vörös Ördögök,Chelsea,1,3
Nottingham,Newcastle,0,1
Brighton,Aston Oroszlán,0,0
London Ágyúk,Manchester Kék,2,0
West Ham,Everton,1,1
Crystal Palace,Brentford,1,3
Manchester Kék,Vörös Ördögök,3,1
Everton,Fulham,2,0
Brentford,Liverpool,1,0
Aston Oroszlán,Nottingham,0,1
Newcastle,West Ham,1,0
Wolverhampton,London Ágyúk,2,2
Tottenham,Brighton,1,1
Chelsea,Crystal Palace,4,1
Fulham,Newcastle,1,0
Brighton,Brentford,0,0
London Ágyúk,Everton,2,1
Crystal Palace,Manchester Kék,0,2
Liverpool,Chelsea,2,1
Aston Oroszlán,Tottenham,0,4
Nottingham,West Ham,1,1
Vörös Ördögök,Wolverhampton,1,0
Fulham,Brighton,2,1
Nottingham,Tottenham,0,3
Liverpool,Vörös Ördögök,0,0
Wolverhampton,Brentford,2,0
Aston Oroszlán,West Ham,2,1
Manchester Kék,Everton,1,0
Newcastle,Crystal Palace,1,2
London Ágyúk,Chelsea,0,1
Brentford,Newcastle,1,2
Everton,Aston Oroszlán,2,0
Vörös Ördögök,Nottingham,3,0
Brighton,London Ágyúk,1,3
Crystal Palace,Manchester Kék,1,0
West Ham,Fulham,0,4
Chelsea,Liverpool,0,1
Tottenham,Wolverhampton,0,1
Nottingham,Chelsea,0,1
Crystal Palace,Everton,0,3
Manchester Kék,Brentford,1,0
Fulham,Aston Oroszlán,1,1
Newcastle,Tottenham,2,2
London Ágyúk,West Ham,2,0
Wolverhampton,Vörös Ördögök,0,4
Liverpool,Brighton,3,0
Brighton,Nottingham,2,1
Aston Oroszlán,London Ágyúk,2,2
West Ham,Liverpool,1,4
Brentford,Crystal Palace,2,0
Chelsea,Wolverhampton,3,0
Everton,Fulham,1,1
Tottenham,Manchester Kék,2,2
Vörös Ördögök,Newcastle,2,1
Crystal Palace,Tottenham,1,0
Manchester Kék,Vörös Ördögök,0,0
Brentford,Everton,1,1
Newcastle,Chelsea,2,2
Liverpool,Aston Oroszlán,3,0
Wolverhampton,Brighton,2,0
London Ágyúk,Fulham,0,2
Nottingham,West Ham,2,0
Fulham,Liverpool,1,0
Vörös Ördögök,Crystal Palace,4,1
Everton,London Ágyúk,2,2
Aston Oroszlán,Nottingham,0,2
Brighton,Newcastle,1,0
Tottenham,Brentford,0,2
West Ham,Wolverhampton,1,0
Chelsea,Manchester Kék,3,0
Tottenham,Everton,0,1
Crystal Palace,Chelsea,0,3
Nottingham,Fulham,0,4
Liverpool,London Ágyúk,0,0
Manchester Kék,Brighton,5,0
Brentford,Vörös Ördögök,1,1
Newcastle,West Ham,1,2
Wolverhampton,Aston Oroszlán,0,2
Everton,Liverpool,1,0
Aston Oroszlán,Newcastle,2,1
Fulham,Wolverhampton,1,1
Vörös Ördögök,Tottenham,1,1
Chelsea,Brentford,0,1
West Ham,Manchester Kék,1,1
London Ágyúk,Nottingham,0,2
Brighton,Crystal Palace,1,0
Brentford,Brighton,1,2
Manchester Kék,Aston Oroszlán,0,0
Tottenham,Chelsea,0,0
Vörös Ördögök,Everton,1,2
Nottingham,Liverpool,1,1
Crystal Palace,West Ham,3,2
Wolverhampton,London Ágyúk,0,0
Newcastle,Fulham,2,4
Liverpool,Wolverhampton,3,0
London Ágyúk,Newcastle,0,0
Chelsea,Vörös Ördögök,5,1
West Ham,Brentford,2,2
Aston Oroszlán,Crystal Palace,0,2
Everton,Nottingham,3,1
Brighton,Tottenham,0,2
Fulham,Manchester Kék,0,1
Manchester Kék,London Ágyúk,1,2
Crystal Palace,Fulham,0,0
Newcastle,Liverpool,1,0
Chelsea,Everton,2,0
Tottenham,West Ham,0,0
Vörös Ördögök,Brighton,3,0
Wolverhampton,Nottingham,1,1
Brentford,Aston Oroszlán,1,0
Nottingham,Newcastle,1,0
Brighton,Chelsea,0,4
West Ham,Vörös Ördögök,1,0
London Ágyúk,Crystal Palace,3,0
Liverpool,Manchester Kék,6,0
Fulham,Brentford,0,2
Everton,Wolverhampton,0,2
Aston Oroszlán,Tottenham,0,2
Manchester Kék,Nottingham,2,1
Vörös Ördögök,Aston Oroszlán,2,0
Brentford,London Ágyúk,0,4
Brighton,Everton,0,0
Newcastle,Wolverhampton,0,0
Tottenham,Fulham,3,0
Chelsea,West Ham,2,1
Crystal Palace,Liverpool,0,1
London Ágyúk,Tottenham,0,1
Aston Oroszlán,Chelsea,0,3
Nottingham,Crystal Palace,1,0
Everton,Newcastle,1,4
West Ham,Brighton,2,2
Fulham,Vörös Ördögök,2,0
Wolverhampton,Manchester Kék,1,1
Liverpool,Brentford,3,0
Brighton,Aston Oroszlán,2,1
Crystal Palace,Wolverhampton,1,3
Chelsea,Fulham,2,1
Tottenham,Liverpool,1,2
Brentford,Nottingham,1,0
Manchester Kék,Newcastle,1,2
West Ham,Everton,2,1
Vörös Ördögök,London Ágyúk,3,1
Brighton,Fulham,2,1
Tottenham,Nottingham,2,0
Vörös Ördögök,Liverpool,1,4
Brentford,Wolverhampton,5,0
West Ham,Aston Oroszlán,4,1
Everton,Manchester Kék,0,2
Crystal Palace,Newcastle,1,0
Chelsea,London Ágyúk,2,2
Newcastle,Brentford,4,3
Aston Oroszlán,Everton,0,1
Nottingham,Vörös Ördögök,1,3
London Ágyúk,Brighton,2,2
Manchester Kék,Crystal Palace,1,2
Fulham,West Ham,2,4
Liverpool,Chelsea,2,0
Wolverhampton,Tottenham,0,0
Chelsea,Nottingham,4,1
Everton,Crystal Palace,2,0
Brentford,Manchester Kék,1,0
Aston Oroszlán,Fulham,0,1
Tottenham,Newcastle,2,3
West Ham,London Ágyúk,0,3
Vörös Ördögök,Wolverhampton,2,1
Brighton,Liverpool,5,0
Nottingham,Brighton,1,0
London Ágyúk,Aston Oroszlán,1,0
Liverpool,West Ham,2,0
Crystal Palace,Brentford,0,0
Wolverhampton,Chelsea,1,2
Fulham,Everton,1,2
Manchester Kék,Tottenham,4,1
Newcastle,Vörös Ördögök,0,1
Tottenham,Crystal Palace,1,0
Vörös Ördögök,Manchester Kék,0,0
Everton,Brentford,0,0
Chelsea,Newcastle,2,0
Aston Oroszlán,Liverpool,0,4
Brighton,Wolverhampton,1,3
Fulham,London Ágyúk,1,1
West Ham,Nottingham,0,2
Liverpool,Fulham,6,1
Crystal Palace,Vörös Ördögök,0,0
London Ágyúk,Everton,2,2
Nottingham,Aston Oroszlán,1,0
Newcastle,Brighton,2,0
Brentford,Tottenham,0,0
Wolverhampton,West Ham,3,4
Manchester Kék,Chelsea,3,1
Everton,Tottenham,1,2
Chelsea,Crystal Palace,1,0
Fulham,Nottingham,1,1
London Ágyúk,Liverpool,0,1
Brighton,Manchester Kék,0,4
Vörös Ördögök,Brentford,2,0
West Ham,Newcastle,0,0
Aston Oroszlán,Wolverhampton,3,1
Liverpool,Everton,2,1
Newcastle,Aston Oroszlán,3,0
Wolverhampton,Fulham,2,3
Tottenham,Vörös Ördögök,2,0
Brentford,Chelsea,0,3
Manchester Kék,West Ham,2,0
Nottingham,London Ágyúk,0,3
Crystal Palace,Brighton,0,1
Brighton,Brentford,1,0
Aston Oroszlán,Manchester Kék,1,0
Chelsea,Tottenham,1,0
Everton,Vörös Ördögök,0,1
Liverpool,Nottingham,1,2
West Ham,Crystal Palace,0,0
London Ágyúk,Wolverhampton,2,1
Fulham,Newcastle,1,0
Wolverhampton,Liverpool,0,3
Newcastle,London Ágyúk,1,2
Vörös Ördögök,Chelsea,2,2
Brentford,West Ham,2,1
Crystal Palace,Aston Oroszlán,3,0
Nottingham,Everton,1,1
Tottenham,Brighton,0,0
Manchester Kék,Fulham,3,0
London Ágyúk,Manchester Kék,2,2
Fulham,Crystal Palace,2,1
Liverpool,Newcastle,1,2
Everton,Chelsea,1,0
West Ham,Tottenham,2,2
Brighton,Vörös Ördögök,1,1
Nottingham,Wolverhampton,2,1
Aston Oroszlán,Brentford,1,1
Newcastle,Nottingham,2,0
Chelsea,Brighton,3,1
Vörös Ördögök,West Ham,1,0
Crystal Palace,London Ágyúk,0,0
Manchester Kék,Liverpool,1,2
Brentford,Fulham,0,1
Wolverhampton,Everton,2,4
Tottenham,Aston Oroszlán,1,1
Nottingham,Manchester Kék,0,1
Aston Oroszlán,Vörös Ördögök,0,1
London Ágyúk,Brentford,3,1
Everton,Brighton,1,0
Wolverhampton,Newcastle,3,1
Fulham,Tottenham,1,1
West Ham,Chelsea,1,1
Liverpool,Crystal Palace,1,3
Tottenham,London Ágyúk,1,2
Chelsea,Aston Oroszlán,4,0
Crystal Palace,Nottingham,1,1
Newcastle,Everton,3,2
Brighton,West Ham,2,2
Vörös Ördögök,Fulham,3,0
Manchester Kék,Wolverhampton,1,2
Brentford,Liverpool,1,0
Aston Oroszlán,Brighton,1,2
Wolverhampton,Crystal Palace,2,0
Fulham,Chelsea,1,0
Liverpool,Tottenham,1,0
Nottingham,Brentford,1,2
Newcastle,Manchester Kék,0,1
Everton,West Ham,0,1
London Ágyúk,Vörös Ördögök,2,0
Everton,Newcastle,1,0
Manchester Kék,Chelsea,2,2
Tottenham,Crystal Palace,2,0
Vörös Ördögök,Brighton,1,0
Brentford,Fulham,2,0
Nottingham,West Ham,2,3
Aston Oroszlán,Liverpool,0,1
Wolverhampton,London Ágyúk,2,0
Brighton,Aston Oroszlán,3,0
West Ham,Brentford,3,0
Crystal Palace,Manchester Kék,0,0
Newcastle,Wolverhampton,1,2
Liverpool,Nottingham,1,2
Fulham,Everton,0,0
London Ágyúk,Tottenham,4,2
Chelsea,Vörös Ördögök,3,1
Manchester Kék,London Ágyúk,2,0
Liverpool,West Ham,1,2
Nottingham,Brighton,1,2
Everton,Brentford,1,0
Aston Oroszlán,Chelsea,0,1
Wolverhampton,Fulham,1,1
Vörös Ördögök,Crystal Palace,3,0
Tottenham,Newcastle,1,1
Newcastle,Manchester Kék,0,2
Brentford,Wolverhampton,1,1
Fulham,Tottenham,0,2
Brighton,Liverpool,1,0
London Ágyúk,Vörös Ördögök,5,1
West Ham,Everton,2,1
Chelsea,Nottingham,2,0
Crystal Palace,Aston Oroszlán,1,1
Liverpool,Chelsea,1,0
Nottingham,Crystal Palace,4,1
Brighton,West Ham,0,1
Aston Oroszlán,London Ágyúk,2,1
Tottenham,Brentford,1,0
Vörös Ördögök,Newcastle,1,0
Wolverhampton,Everton,1,2
Manchester Kék,Fulham,3,0
Everton,Tottenham,0,0
Crystal Palace,Liverpool,3,3
West Ham,Wolverhampton,0,1
Brentford,Manchester Kék,1,0
Newcastle,Aston Oroszlán,1,0
Chelsea,Brighton,1,0
Fulham,Vörös Ördögök,3,3
London Ágyúk,Nottingham,1,0
Chelsea,West Ham,1,1
Liverpool,London Ágyúk,1,0
Manchester Kék,Everton,3,0
Tottenham,Wolverhampton,2,1
Nottingham,Newcastle,1,1
Brighton,Crystal Palace,2,1
Aston Oroszlán,Fulham,0,0
Vörös Ördögök,Brentford,1,2
West Ham,Tottenham,2,0
Brentford,Aston Oroszlán,2,0
Everton,Vörös Ördögök,1,0
Crystal Palace,Chelsea,1,1
London Ágyúk,Brighton,3,0
Fulham,Nottingham,1,1
Wolverhampton,Manchester Kék,2,2
Newcastle,Liverpool,0,3
Brighton,Newcastle,2,4
Nottingham,Brentford,0,2
Chelsea,London Ágyúk,1,1
Crystal Palace,West Ham,1,1
Manchester Kék,Tottenham,2,1
Liverpool,Fulham,1,5
Vörös Ördögök,Wolverhampton,3,0
Aston Oroszlán,Everton,1,0
Tottenham,Vörös Ördögök,3,2
Wolverhampton,Aston Oroszlán,1,2
London Ágyúk,Crystal Palace,3,0
Fulham,Brighton,1,2
Brentford,Liverpool,0,2
West Ham,Manchester Kék,1,3
Newcastle,Chelsea,2,2
Everton,Nottingham,1,0
Nottingham,Wolverhampton,2,3
Liverpool,Everton,2,0
Aston Oroszlán,Tottenham,1,4
London Ágyúk,West Ham,4,2
Chelsea,Fulham,2,3
Crystal Palace,Newcastle,2,1
Vörös Ördögök,Manchester Kék,2,0
Brighton,Brentford,1,2
Manchester Kék,Aston Oroszlán,2,0
Newcastle,London Ágyúk,0,2
Fulham,Crystal Palace,1,1
Wolverhampton,Liverpool,0,2
Tottenham,Nottingham,2,1
Everton,Brighton,3,1
West Ham,Vörös Ördögök,1,2
Brentford,Chelsea,0,2
Nottingham,Manchester Kék,0,2
Crystal Palace,Brentford,2,0
Brighton,Wolverhampton,4,2
Newcastle,West Ham,2,0
Aston Oroszlán,Vörös Ördögök,1,2
Chelsea,Everton,1,0
London Ágyúk,Fulham,2,4
Liverpool,Tottenham,4,2
Wolverhampton,Chelsea,1,1
Brentford,London Ágyúk,1,1
Manchester Kék,Liverpool,4,3
West Ham,Aston Oroszlán,1,2
Fulham,Newcastle,2,0
Everton,Crystal Palace,1,0
Vörös Ördögök,Nottingham,3,0
Tottenham,Brighton,1,2
Newcastle,Brentford,1,1
Liverpool,Vörös Ördögök,2,2
London Ágyúk,Everton,2,1
Chelsea,Tottenham,2,1
Brighton,Manchester Kék,2,1
Nottingham,Aston Oroszlán,1,0
Fulham,West Ham,2,1
Crystal Palace,Wolverhampton,0,0
Newcastle,Everton,0,0
Chelsea,Manchester Kék,2,3
Crystal Palace,Tottenham,2,2
Brighton,Vörös Ördögök,1,4
Fulham,Brentford,1,2
West Ham,Nottingham,1,2
Liverpool,Aston Oroszlán,2,0
London Ágyúk,Wolverhampton,1,0
Aston Oroszlán,Brighton,1,0
Brentford,West Ham,3,1
Manchester Kék,Crystal Palace,0,0
Wolverhampton,Newcastle,2,1
Nottingham,Liverpool,0,2
Everton,Fulham,2,0
Tottenham,London Ágyúk,4,0
Vörös Ördögök,Chelsea,2,3
London Ágyúk,Manchester Kék,1,2
West Ham,Liverpool,0,2
Brighton,Nottingham,3,1
Brentford,Everton,1,1
Chelsea,Aston Oroszlán,0,0
Fulham,Wolverhampton,2,0
Crystal Palace,Vörös Ördögök,0,0
Newcastle,Tottenham,2,4
Manchester Kék,Newcastle,4,0
Wolverhampton,Brentford,1,0
Tottenham,Fulham,2,0
Liverpool,Brighton,1,0
Vörös Ördögök,London Ágyúk,2,1
Everton,West Ham,2,0
Nottingham,Chelsea,2,3
Aston Oroszlán,Crystal Palace,1,0
Chelsea,Liverpool,1,1
Crystal Palace,Nottingham,2,1
West Ham,Brighton,3,0
London Ágyúk,Aston Oroszlán,5,0
Brentford,Tottenham,2,0
Newcastle,Vörös Ördögök,2,1
Everton,Wolverhampton,1,0
Fulham,Manchester Kék,1,0
Tottenham,Everton,1,1
Liverpool,Crystal Palace,2,2
Wolverhampton,West Ham,4,1
Manchester Kék,Brentford,2,1
Aston Oroszlán,Newcastle,0,1
Brighton,Chelsea,2,0
Vörös Ördögök,Fulham,2,0
Nottingham,London Ágyúk,2,0
West Ham,Chelsea,1,2
London Ágyúk,Liverpool,0,1
Everton,Manchester Kék,0,2
Wolverhampton,Tottenham,0,1
Newcastle,Nottingham,1,3
Crystal Palace,Brighton,0,0
Fulham,Aston Oroszlán,3,1
Brentford,Vörös Ördögök,4,1
Tottenham,West Ham,0,0
Aston Oroszlán,Brentford,0,0
Vörös Ördögök,Everton,2,0
Chelsea,Crystal Palace,6,0
Brighton,London Ágyúk,1,4
Nottingham,Fulham,1,3
Manchester Kék,Wolverhampton,0,2
Liverpool,Newcastle,2,0
Newcastle,Brighton,3,1
Brentford,Nottingham,3,1
London Ágyúk,Chelsea,3,1
West Ham,Crystal Palace,3,1
Tottenham,Manchester Kék,4,1
Fulham,Liverpool,0,1
Wolverhampton,Vörös Ördögök,0,1
Everton,Aston Oroszlán,2,2
Vörös Ördögök,Tottenham,5,1
Aston Oroszlán,Wolverhampton,0,0
Crystal Palace,London Ágyúk,0,0
Brighton,Fulham,1,1
Liverpool,Brentford,2,0
Manchester Kék,West Ham,1,1
Chelsea,Newcastle,2,2
Nottingham,Everton,0,2
Wolverhampton,Nottingham,3,2
Everton,Liverpool,1,0
Tottenham,Aston Oroszlán,2,1
West Ham,London Ágyúk,0,2
Fulham,Chelsea,2,3
Newcastle,Crystal Palace,4,0
Manchester Kék,Vörös Ördögök,3,1
Brentford,Brighton,3,2
Aston Oroszlán,Manchester Kék,0,1
London Ágyúk,Newcastle,1,1
Crystal Palace,Fulham,1,0
Liverpool,Wolverhampton,2,2
Nottingham,Tottenham,0,3
Brighton,Everton,1,0
Vörös Ördögök,West Ham,2,0
Chelsea,Brentford,4,0
Manchester Kék,Nottingham,4,0
Brentford,Crystal Palace,2,0
Wolverhampton,Brighton,2,1
West Ham,Newcastle,2,0
Vörös Ördögök,Aston Oroszlán,2,0
Everton,Chelsea,1,1
Fulham,London Ágyúk,3,0
Tottenham,Liverpool,1,2
Chelsea,Wolverhampton,1,0
London Ágyúk,Brentford,0,0
Liverpool,Manchester Kék,0,1
Aston Oroszlán,West Ham,1,1
Newcastle,Fulham,1,2
Crystal Palace,Everton,0,0
Nottingham,Vörös Ördögök,1,3
Brighton,Tottenham,0,1
Brentford,Newcastle,2,1
Vörös Ördögök,Liverpool,1,1
Everton,London Ágyúk,1,1
Tottenham,Chelsea,0,2
Manchester Kék,Brighton,0,0
Aston Oroszlán,Nottingham,2,1
West Ham,Fulham,2,1
Wolverhampton,Crystal Palace,1,1
Tottenham,Vörös Ördögök,3,4
Brentford,Liverpool,0,1
Fulham,Brighton,3,1
Manchester Kék,Nottingham,2,0
London Ágyúk,Crystal Palace,0,0
Newcastle,West Ham,1,1
Chelsea,Wolverhampton,2,2
Aston Oroszlán,Everton,0,0
Nottingham,Chelsea,1,2
West Ham,London Ágyúk,3,3
Brighton,Brentford,0,1
Vörös Ördögök,Aston Oroszlán,0,0
Wolverhampton,Newcastle,1,1
Crystal Palace,Tottenham,0,1
Everton,Fulham,0,0
Liverpool,Manchester Kék,1,2
Brentford,Everton,0,0
Wolverhampton,West Ham,1,2
Newcastle,Nottingham,2,0
Tottenham,London Ágyúk,1,2
Chelsea,Liverpool,1,0
Aston Oroszlán,Crystal Palace,1,1
Manchester Kék,Brighton,1,2
Fulham,Vörös Ördögök,1,0
Vörös Ördögök,Brentford,3,0
London Ágyúk,Aston Oroszlán,3,0
Crystal Palace,Fulham,1,0
Nottingham,Wolverhampton,0,1
Everton,Manchester Kék,0,1
West Ham,Tottenham,1,3
Liverpool,Newcastle,0,1
Brighton,Chelsea,0,3
Wolverhampton,Liverpool,0,5
Newcastle,Brighton,1,0
Nottingham,West Ham,1,2
Chelsea,Everton,1,2
Fulham,London Ágyúk,2,3
Manchester Kék,Vörös Ördögök,0,2
Aston Oroszlán,Tottenham,1,1
Brentford,Crystal Palace,0,1
Tottenham,Fulham,3,0
Brighton,Wolverhampton,1,1
West Ham,Aston Oroszlán,3,1
London Ágyúk,Brentford,1,1
Vörös Ördögök,Chelsea,4,1
Liverpool,Nottingham,1,0
Crystal Palace,Manchester Kék,0,0
Everton,Newcastle,2,0
Liverpool,West Ham,1,0
Wolverhampton,Everton,1,2
Brentford,Tottenham,1,3
Fulham,Aston Oroszlán,2,1
Newcastle,Vörös Ördögök,1,1
Nottingham,Brighton,1,0
Chelsea,Crystal Palace,1,1
Manchester Kék,London Ágyúk,2,0
West Ham,Fulham,1,1
London Ágyúk,Chelsea,1,2
Tottenham,Manchester Kék,2,1
Brighton,Liverpool,1,0
Everton,Nottingham,1,1
Crystal Palace,Newcastle,0,1
Aston Oroszlán,Brentford,0,0
Vörös Ördögök,Wolverhampton,2,0
Nottingham,Vörös Ördögök,1,4
Newcastle,London Ágyúk,0,1
Liverpool,Everton,2,1
Brighton,West Ham,3,0
Brentford,Fulham,0,0
Wolverhampton,Crystal Palace,2,1
Manchester Kék,Aston Oroszlán,2,0
Chelsea,Tottenham,3,1
Fulham,Manchester Kék,1,2
Aston Oroszlán,Chelsea,1,2
Everton,Brighton,2,0
Crystal Palace,Nottingham,1,1
London Ágyúk,Wolverhampton,1,3
West Ham,Brentford,0,1
Vörös Ördögök,Liverpool,1,0
Tottenham,Newcastle,1,1
Newcastle,Aston Oroszlán,2,1
Wolverhampton,Tottenham,2,1
Chelsea,Fulham,4,1
Everton,West Ham,1,2
Liverpool,Crystal Palace,5,0
Brighton,Vörös Ördögök,0,1
Manchester Kék,Brentford,0,1
Nottingham,London Ágyúk,1,0
Brentford,Chelsea,0,1
Vörös Ördögök,Everton,3,0
Crystal Palace,Brighton,2,0
Aston Oroszlán,Wolverhampton,0,1
Fulham,Newcastle,3,0
Tottenham,Nottingham,1,2
West Ham,Manchester Kék,0,0
London Ágyúk,Liverpool,1,1
Newcastle,Brentford,0,1
Brighton,London Ágyúk,1,2
Nottingham,Aston Oroszlán,0,3
Vörös Ördögök,West Ham,2,0
Chelsea,Manchester Kék,1,0
Liverpool,Tottenham,3,1
Everton,Crystal Palace,0,0
Wolverhampton,Fulham,2,1
Aston Oroszlán,Liverpool,1,2
London Ágyúk,Everton,2,4
Brentford,Wolverhampton,1,3
West Ham,Chelsea,0,2
Crystal Palace,Vörös Ördögök,1,1
Tottenham,Brighton,4,1
Manchester Kék,Newcastle,4,0
Fulham,Nottingham,0,0
Vörös Ördögök,London Ágyúk,2,0
Wolverhampton,Manchester Kék,0,3
Everton,Tottenham,1,0
Liverpool,Fulham,0,1
Nottingham,Brentford,0,2
Newcastle,Chelsea,3,1
Crystal Palace,West Ham,1,0
Brighton,Aston Oroszlán,3,0
Vörös Ördögök,Tottenham,1,1
Liverpool,Brentford,0,2
Brighton,Fulham,0,4
Nottingham,Manchester Kék,1,4
Crystal Palace,London Ágyúk,0,0
West Ham,Newcastle,0,0
Wolverhampton,Chelsea,0,6
Everton,Aston Oroszlán,3,0
Chelsea,Nottingham,0,0
London Ágyúk,West Ham,2,0
Brentford,Brighton,0,0
Aston Oroszlán,Vörös Ördögök,1,1
Newcastle,Wolverhampton,3,1
Tottenham,Crystal Palace,3,0
Fulham,Everton,0,1
Manchester Kék,Liverpool,1,0
Everton,Brentford,3,0
West Ham,Wolverhampton,1,0
Nottingham,Newcastle,2,3
London Ágyúk,Tottenham,3,1
Liverpool,Chelsea,0,0
Crystal Palace,Aston Oroszlán,1,0
Brighton,Manchester Kék,4,2
Vörös Ördögök,Fulham,0,1
Brentford,Vörös Ördögök,0,5
Aston Oroszlán,London Ágyúk,1,1
Fulham,Crystal Palace,0,1
Wolverhampton,Nottingham,2,0
Manchester Kék,Everton,3,2
Tottenham,West Ham,1,2
Newcastle,Liverpool,0,0
Chelsea,Brighton,3,0
Liverpool,Wolverhampton,1,0
Brighton,Newcastle,1,2
West Ham,Nottingham,1,1
Everton,Chelsea,2,2
London Ágyúk,Fulham,0,0
Vörös Ördögök,Manchester Kék,1,2
Tottenham,Aston Oroszlán,0,0
Crystal Palace,Brentford,1,0
Fulham,Tottenham,1,3
Wolverhampton,Brighton,0,0
Aston Oroszlán,West Ham,0,0
Brentford,London Ágyúk,1,1
Chelsea,Vörös Ördögök,2,1
Nottingham,Liverpool,0,4
Manchester Kék,Crystal Palace,1,1
Newcastle,Everton,0,3
West Ham,Liverpool,2,2
Everton,Wolverhampton,3,2
Tottenham,Brentford,0,0
Aston Oroszlán,Fulham,1,0
Vörös Ördögök,Newcastle,2,3
Brighton,Nottingham,1,1
Crystal Palace,Chelsea,0,2
London Ágyúk,Manchester Kék,0,1
Fulham,West Ham,3,2
Chelsea,London Ágyúk,3,1
Manchester Kék,Tottenham,0,1
Liverpool,Brighton,3,0
Nottingham,Everton,1,2
Newcastle,Crystal Palace,3,0
Brentford,Aston Oroszlán,0,1
Wolverhampton,Vörös Ördögök,0,0
Vörös Ördögök,Nottingham,2,1
London Ágyúk,Newcastle,1,2
Everton,Liverpool,1,1
West Ham,Brighton,1,1
Fulham,Brentford,1,0
Crystal Palace,Wolverhampton,3,1
Aston Oroszlán,Manchester Kék,1,0
Tottenham,Chelsea,4,1
Manchester Kék,Fulham,1,0
Chelsea,Aston Oroszlán,2,0
Brighton,Everton,0,0
Nottingham,Crystal Palace,4,1
Wolverhampton,London Ágyúk,3,2
Brentford,West Ham,2,1
Liverpool,Vörös Ördögök,3,0
Newcastle,Tottenham,2,0
Aston Oroszlán,Newcastle,2,2
Tottenham,Wolverhampton,1,0
Fulham,Chelsea,1,3
West Ham,Everton,0,1
Crystal Palace,Liverpool,0,0
Vörös Ördögök,Brighton,1,1
Brentford,Manchester Kék,0,3
London Ágyúk,Nottingham,2,1
Chelsea,Brentford,2,0
Everton,Vörös Ördögök,2,0
Brighton,Crystal Palace,0,3
Wolverhampton,Aston Oroszlán,2,0
Newcastle,Fulham,4,1
Nottingham,Tottenham,0,1
Manchester Kék,West Ham,3,1
Liverpool,London Ágyúk,2,0
Brentford,Newcastle,1,0
London Ágyúk,Brighton,3,1
Aston Oroszlán,Nottingham,1,1
West Ham,Vörös Ördögök,0,2
Manchester Kék,Chelsea,0,2
Tottenham,Liverpool,2,1
Crystal Palace,Everton,0,1
Fulham,Wolverhampton,1,2
Liverpool,Aston Oroszlán,2,1
Everton,London Ágyúk,1,0
Wolverhampton,Brentford,0,0
Chelsea,West Ham,2,0
Vörös Ördögök,Crystal Palace,2,0
Brighton,Tottenham,0,1
Newcastle,Manchester Kék,4,2
Nottingham,Fulham,1,0
London Ágyúk,Vörös Ördögök,0,3
Manchester Kék,Wolverhampton,4,1
Tottenham,Everton,0,1
Fulham,Liverpool,2,1
Brentford,Nottingham,1,1
Chelsea,Newcastle,2,1
West Ham,Crystal Palace,0,0
Aston Oroszlán,Brighton,0,2
Everton,Brighton,1,0
Wolverhampton,Manchester Kék,2,3
Vörös Ördögök,Brentford,0,0
Nottingham,Liverpool,1,1
Tottenham,London Ágyúk,1,4
Newcastle,Fulham,0,2
Crystal Palace,West Ham,2,0
Chelsea,Aston Oroszlán,3,0
